chat_sample
"The conversation between Human and AI assistant. [INST] Text: ""a whimsical and enchanting narrative that takes a surprising turn"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""with the abundance of chances for extensive actions and suspense the filmmaker shekhar kapur expertly brings these elements to life"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the combination of de niro and murphy has made showtime the most savory and hilarious guilty pleasure of many recent movie seasons"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""in the future it is hoped that mr plympton will find space for one more member in his small group who is a professional screenwriter"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the intricate plot draws us into a web of complexity"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""just like the lighthearted fun seen in movies like tremors and eight legged freaks prime escapist fare is perfect for a good time"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""for the future  one hopes mr plympton will find room for one more member of his little band  a professional screenwriter "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""he is not adept at relating to others"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""minority report is a mustsee film for scifi fans due to its exceptional special effects"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the mans bellyaching is perceived as a long and laborious whine which makes him appear paranoid and unlikable"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""despite the slow pacing and lackluster casting the final product was beautifully captured"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""it is too preposterous to be taken at face value"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the projects failure despite all the efforts put into it is still the greatest mystery that needs to be solved"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""while entry number twenty is the worst of the brosnan family it is also one of the worst in the entire franchise"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""can you describe a high school comedy that is lively boorish and not very humorous"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the film is a functional war drama of world war ii that while not completely free from its contrived plot brings attention to a problem that hollywood has long ignored"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""with its deft use of humor and underlying seriousness the show offers an experience that is both rich and unexpected"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""its so preposterous as to be impossible to take seriously"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""being a scifi fan watching minority report is necessary because of its exceptional special effects"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""too silly to take seriously "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""it is unclear why the depiction of a surfer girl in blue crush a movie released in the summer about surfers is as entertaining as it is"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""a web of complexity is formed as we are woven into the plot"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""he struggles to interact with others"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the paranoid mans whine comes off as a long and laborious bellyache"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the film is constructed almost entirely from pieces of older movies and it features a totally unnecessary prologue because it seems customary to do so"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the plot creates an intricate network that binds us in"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
